table,domain,category,tenant_model,hospital_id,primary_key,fk_count,policy_count,app_file_refs,app_ops,design_provenance,ai_duplication_risk,ai_drift_risk,security_risk,data_integrity_risk,performance_risk,final_verdict,confidence,evidence
admission_estimates,IPD,CORE ENTITY,DIRECT hospital_id,YES,id,5,1,5,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260908000001_admission_estimates.sql ; 20260908000001_admission_estimates.sql
admission_sequences,IPD,CONFIGURATION,hospital_id present but UNUSED by RLS,YES,hospital_id prefix,1,1,0,NONE,INTENTIONAL DESIGN,LOW,LOW,CRITICAL,LOW,LOW,KEEP + MODIFY (fix RLS),HIGH,20261008000143_admission_number_sequence.sql ; 20261008000143_admission_number_sequence.sql
admissions,IPD,CORE ENTITY,DIRECT hospital_id,YES,id,16,3,110,READ|UPDATE|INSERT|DELETE,EVOLVED DESIGN (heavy column accretion),LOW,MEDIUM,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260322100400_6c9a79a1-7e9c-4765-b9ee-5f84aa2a6291.sql ; 20260322100400_6c9a79a1-7e9c-4765-b9ee-5f84aa2a6291.sql
adult_immunization_schedule,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260509100001_nabh_preventive_screenings.sql ; 20260509100001_nabh_preventive_screenings.sql
advance_receipts,Other,CORE ENTITY,DIRECT hospital_id,YES,id,5,2,6,INSERT|READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260323042425_16804ec8-3823-495a-89b7-52db4d2a494e.sql ; 20260323042425_16804ec8-3823-495a-89b7-52db4d2a494e.sql
ai_attestations,AI,CORE ENTITY,DIRECT hospital_id,YES,id,2,1,3,INSERT|READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260908000007_ai_attestations.sql ; 20260908000007_ai_attestations.sql
ai_cost_daily,AI,CORE ENTITY,DIRECT hospital_id,YES,id,1,2,2,READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260910000002_ai_usage_logs.sql ; 20260910000002_ai_usage_logs.sql
ai_digests,AI,CORE ENTITY,DIRECT hospital_id,YES,id,1,2,2,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260326062728_10e73bb1-dbbb-46dd-bbdb-71732039c2b1.sql ; 20260326062728_10e73bb1-dbbb-46dd-bbdb-71732039c2b1.sql
ai_feature_classes,AI,CORE ENTITY,DERIVED via users,NO,feature_key,1,2,0,NONE,UNCERTAIN (not found in migrations),LOW,LOW,CRITICAL,LOW,MEDIUM,KEEP + MODIFY (fix RLS),HIGH,
ai_feature_logs,AI,AUDIT,DIRECT hospital_id,YES,id,2,1,22,INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260908000015_ai_triage_sepsis.sql ; 20260908000015_ai_triage_sepsis.sql
ai_language_settings,AI,CONFIGURATION,DIRECT hospital_id,YES,id,1,2,4,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,CRITICAL,LOW,LOW,KEEP + MODIFY (fix RLS),HIGH,20260524000003_ai_language_settings.sql ; 20260524000003_ai_language_settings.sql
ai_provider_config,AI,CONFIGURATION,DIRECT hospital_id,YES,id,1,4,0,NONE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,"REVIEW (no app usage, no rows)",LOW,20260327062736_ec17f5cb-0625-4f53-a2f9-4d5087d56362.sql ; 20260327062736_ec17f5cb-0625-4f53-a2f9-4d5087d56362.sql
ai_safety_flags,AI,CORE ENTITY,DIRECT hospital_id,YES,id,0,2,2,UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260521000007_ai_safety.sql ; 20260521000007_ai_safety.sql
ai_suggestions_audit,AI,AUDIT,DIRECT hospital_id,YES,id,1,2,4,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260521000001_ai_governance.sql ; 20260521000001_ai_governance.sql
ai_usage_logs,AI,AUDIT,DIRECT hospital_id,YES,id,1,2,7,READ|INSERT,EVOLVED DESIGN,LOW,MEDIUM,LOW,MEDIUM,LOW,KEEP,MEDIUM,20260607000001_fix_missing_tables.sql ; 20260607000001_fix_missing_tables.sql
ai_wallet_transactions,AI,CORE ENTITY,DIRECT hospital_id,YES,id,1,2,1,READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20261009000178_ai_wallet.sql ; 20261009000178_ai_wallet.sql
alert_escalation_log,Other,AUDIT,DIRECT hospital_id,YES,id,3,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260531000004_alert_escalation.sql ; 20260531000004_alert_escalation.sql
alert_escalation_rules,Other,CONFIGURATION,DIRECT hospital_id,YES,id,1,2,2,READ|INSERT|UPDATE,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,MEDIUM,LOW,LOW,LOW,KEEP,MEDIUM,20260531000004_alert_escalation.sql ; 20260531000004_alert_escalation.sql
ambulance_dispatches,Emergency,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,3,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260509100002_nabh_ambulance.sql ; 20260509100002_nabh_ambulance.sql
ambulance_equipment_checks,Emergency,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,2,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260509100002_nabh_ambulance.sql ; 20260509100002_nabh_ambulance.sql
ambulance_transit_treatment,Emergency,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260509100002_nabh_ambulance.sql ; 20260509100002_nabh_ambulance.sql
ambulance_vehicles,Emergency,CORE ENTITY,DIRECT hospital_id,YES,id,1,1,4,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260509100002_nabh_ambulance.sql ; 20260509100002_nabh_ambulance.sql
amc_contracts,Other,CORE ENTITY,DIRECT hospital_id,YES,id,2,1,2,READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260329082735_9bc536a7-52f4-4887-8826-8c9555012e77.sql ; 20260329082735_9bc536a7-52f4-4887-8826-8c9555012e77.sql
anaesthesia_records,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,2,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260328143309_2873fa52-f435-4186-ab79-89dcf13b19da.sql ; 20260510000001_enable_rls_missing_tables.sql
andrology_reports,IVF/ART,CORE ENTITY,DIRECT hospital_id,YES,id,4,2,1,READ|INSERT,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260330090552_8f181820-6667-4345-ae68-d4aed2b4e34e.sql ; 20260330090552_8f181820-6667-4345-ae68-d4aed2b4e34e.sql
antibiotic_justifications,Other,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,2,INSERT|READ|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260509100009_nabh_high_alert_meds.sql ; 20260509100009_nabh_high_alert_meds.sql
antibiotic_restricted_list,Other,CORE ENTITY,DIRECT hospital_id,YES,id,1,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260910000006_asp_module.sql ; 20260910000006_asp_module.sql
api_configurations,Integration,INTEGRATION,DIRECT hospital_id,YES,id,1,4,10,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260327062736_ec17f5cb-0625-4f53-a2f9-4d5087d56362.sql ; 20260327062736_ec17f5cb-0625-4f53-a2f9-4d5087d56362.sql
api_keys,Integration,INTEGRATION,DIRECT hospital_id,YES,id,2,3,3,READ|INSERT|UPDATE|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260327045637_374bfc54-05be-4d73-9183-63f042dcadb0.sql ; 20260327045637_374bfc54-05be-4d73-9183-63f042dcadb0.sql
appointments,OPD,CORE ENTITY,DIRECT hospital_id,YES,id,7,4,8,READ|INSERT|UPDATE,EVOLVED DESIGN,LOW,LOW,LOW,MEDIUM,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260418180322_b744645d-4793-4536-bc58-cbd94bacc2b0.sql ; 20260418180322_b744645d-4793-4536-bc58-cbd94bacc2b0.sql
arogyasri_enrollments,PM-JAY,CORE ENTITY,DIRECT hospital_id,YES,id,0,2,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260521000005_govt_schemes.sql ; 20260521000005_govt_schemes.sql
art_couples,IVF/ART,CORE ENTITY,DIRECT hospital_id,YES,id,4,2,2,READ|INSERT,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,MEDIUM,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260330090552_8f181820-6667-4345-ae68-d4aed2b4e34e.sql ; 20260330090552_8f181820-6667-4345-ae68-d4aed2b4e34e.sql
asr_pricing,Other,CORE ENTITY,GLOBAL / non-tenant,NO,id,0,1,1,READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20261009000180_asr_pricing.sql ; 20261009000180_asr_pricing.sql
attendance_regularization_requests,HR,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,2,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261008000061_hr_attendance_ot_requests.sql ; 20261008000061_hr_attendance_ot_requests.sql
audit_log,Audit/Compliance,AUDIT,DIRECT hospital_id,YES,id,0,2,8,INSERT|READ,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,LOW,KEEP,MEDIUM,20260418102042_6b03ea0e-9a83-4459-bc5b-3b0caab64f95.sql ; 20260418102042_6b03ea0e-9a83-4459-bc5b-3b0caab64f95.sql
audit_records,Audit/Compliance,AUDIT,DIRECT hospital_id,YES,id,2,3,3,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260324133145_ee0f767c-dfb1-49f0-acbb-d8ea9ea4a8ae.sql ; 20260324133145_ee0f767c-dfb1-49f0-acbb-d8ea9ea4a8ae.sql
aumrti_admins,Identity,CORE ENTITY,DERIVED via users,NO,id,1,2,11,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260601150001_aumrti_control_plane.sql ; 20260601150001_aumrti_control_plane.sql
auto_posting_rules,Other,CONFIGURATION,DIRECT hospital_id,YES,id,3,1,3,READ,EVOLVED DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260327104518_5ee46b79-c027-4225-b405-c6f40efe69be.sql ; 20260327104518_5ee46b79-c027-4225-b405-c6f40efe69be.sql
ayush_drug_master,Other,REFERENCE,DIRECT hospital_id,YES,id,1,1,1,READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260330085045_fb5a8164-9b1f-4fbe-b3a4-9e2067eb51a6.sql ; 20260330085045_fb5a8164-9b1f-4fbe-b3a4-9e2067eb51a6.sql
ayush_encounters,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,3,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260330085045_fb5a8164-9b1f-4fbe-b3a4-9e2067eb51a6.sql ; 20260330085045_fb5a8164-9b1f-4fbe-b3a4-9e2067eb51a6.sql
bank_accounts,Other,CORE ENTITY,DIRECT hospital_id,YES,id,2,1,3,READ|INSERT|UPDATE|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260327104518_5ee46b79-c027-4225-b405-c6f40efe69be.sql ; 20260327104518_5ee46b79-c027-4225-b405-c6f40efe69be.sql
bank_transactions,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260327104518_5ee46b79-c027-4225-b405-c6f40efe69be.sql ; 20260327104518_5ee46b79-c027-4225-b405-c6f40efe69be.sql
bed_demand_forecasts,IPD,REPORTING,DIRECT hospital_id,YES,id,2,2,1,INSERT,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,MEDIUM,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260904000003_bed_demand_forecasts.sql ; 20260904000003_bed_demand_forecasts.sql
bed_reservations,IPD,CORE ENTITY,DIRECT hospital_id,YES,id,6,1,3,INSERT|READ|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20261008000009_bed_reservations.sql ; 20261008000009_bed_reservations.sql
beds,IPD,CORE ENTITY,DIRECT hospital_id,YES,id,2,2,28,READ|UPDATE|INSERT|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260321172711_08ce171e-0ec4-4070-a0b9-943fc59cab13.sql ; 20260321172711_08ce171e-0ec4-4070-a0b9-943fc59cab13.sql
bill_amendments,Billing,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,INSERT|READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260531000006_rcm_gaps.sql ; 20260531000006_rcm_gaps.sql
bill_discount_approvals,Billing,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,5,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260908000011_discount_approvals.sql ; 20260908000011_discount_approvals.sql
bill_line_items,Billing,JUNCTION,DIRECT hospital_id,YES,id,5,2,51,READ|INSERT|DELETE|UPDATE,EVOLVED DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260323042425_16804ec8-3823-495a-89b7-52db4d2a494e.sql ; 20260323042425_16804ec8-3823-495a-89b7-52db4d2a494e.sql
bill_payments,Billing,CORE ENTITY,DIRECT hospital_id,YES,id,3,2,22,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260323042425_16804ec8-3823-495a-89b7-52db4d2a494e.sql ; 20260323042425_16804ec8-3823-495a-89b7-52db4d2a494e.sql
bill_sequences,Billing,CONFIGURATION,DIRECT hospital_id,YES,hospital_id prefix,1,1,1,READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260407093348_b1712c02-e58f-41a0-85d2-ead32d0e9529.sql ; 20260407093348_b1712c02-e58f-41a0-85d2-ead32d0e9529.sql
bills,Billing,CORE ENTITY,DIRECT hospital_id,YES,id,7,3,112,READ|INSERT|UPDATE,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,MEDIUM,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260322092601_7a1cb821-2abc-479b-8d2d-9d19a5740e0b.sql ; 20260322092601_7a1cb821-2abc-479b-8d2d-9d19a5740e0b.sql
blood_antibody_screening,Blood Bank,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,0,NONE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,HIGH,"REVIEW (no app usage, no rows)",LOW,20260531000005_blood_bank_tti_isbt.sql ; 20260531000005_blood_bank_tti_isbt.sql
blood_issues,Blood Bank,CORE ENTITY,DIRECT hospital_id,YES,id,7,1,3,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260328052647_ae1a1adb-0b7e-44c0-be24-5a2f81d3a97f.sql ; 20260328052647_ae1a1adb-0b7e-44c0-be24-5a2f81d3a97f.sql
blood_requests,Blood Bank,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,4,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260328052647_ae1a1adb-0b7e-44c0-be24-5a2f81d3a97f.sql ; 20260328052647_ae1a1adb-0b7e-44c0-be24-5a2f81d3a97f.sql
blood_unit_tti_tests,Blood Bank,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,1,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260531000005_blood_bank_tti_isbt.sql ; 20260531000005_blood_bank_tti_isbt.sql
blood_units,Blood Bank,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,11,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260328052647_ae1a1adb-0b7e-44c0-be24-5a2f81d3a97f.sql ; 20260328052647_ae1a1adb-0b7e-44c0-be24-5a2f81d3a97f.sql
bmw_manifests,Biomedical Waste,CORE ENTITY,DIRECT hospital_id,YES,id,1,1,1,READ|INSERT|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260909000007_fms.sql ; 20260909000007_fms.sql
bmw_records,Biomedical Waste,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,3,INSERT|READ,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260329083647_16e8bea8-2bbf-46b2-a723-b77c856c4480.sql ; 20260329083647_16e8bea8-2bbf-46b2-a723-b77c856c4480.sql
body_releases,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260329153452_0dce536f-a0cb-4ae9-9af2-e7d3d5baee48.sql ; 20260329153452_0dce536f-a0cb-4ae9-9af2-e7d3d5baee48.sql
bpmh_records,Other,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260910000007_med_reconciliation.sql ; 20260910000007_med_reconciliation.sql
braden_scale_assessments,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260910000008_nutrition_wound_care.sql ; 20260910000008_nutrition_wound_care.sql
branches,Tenant,CORE ENTITY,DIRECT hospital_id,YES,id,1,3,0,NONE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,"REVIEW (no app usage, no rows)",LOW,20260321162749_5754cd97-c837-4c8f-a419-b2dd4b7f66f5.sql ; 20260510000001_enable_rls_missing_tables.sql
breakdown_logs,Other,AUDIT,DIRECT hospital_id,YES,id,3,1,5,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260329082735_9bc536a7-52f4-4887-8826-8c9555012e77.sql ; 20260329082735_9bc536a7-52f4-4887-8826-8c9555012e77.sql
budget_lines,Other,JUNCTION,DIRECT hospital_id,YES,id,4,1,1,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260910000010_erp_mci_jci.sql ; 20260910000010_erp_mci_jci.sql
calibration_records,Other,CORE ENTITY,DIRECT hospital_id,YES,id,2,1,3,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260329082735_9bc536a7-52f4-4887-8826-8c9555012e77.sql ; 20260329082735_9bc536a7-52f4-4887-8826-8c9555012e77.sql
capa_records,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,2,3,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260324133145_ee0f767c-dfb1-49f0-acbb-d8ea9ea4a8ae.sql ; 20260324133145_ee0f767c-dfb1-49f0-acbb-d8ea9ea4a8ae.sql
care_bundle_checks,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260910000005_icu_workspace.sql ; 20260910000005_icu_workspace.sql
care_plan_tasks,Nursing,CORE ENTITY,DIRECT hospital_id,YES,id,1,2,1,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260521000004_chronic_disease.sql ; 20260521000004_chronic_disease.sql
care_plans,Nursing,CORE ENTITY,DIRECT hospital_id,YES,id,0,2,2,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260521000004_chronic_disease.sql ; 20260521000004_chronic_disease.sql
case_sheet_templates,Other,CORE ENTITY,DIRECT hospital_id,YES,id,2,4,1,READ,PATCHED DESIGN (repeated policy rewrites),LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261008000002_case_sheet_templates.sql ; 20261008000002_case_sheet_templates.sql
cghs_echs_beneficiaries,PM-JAY,CORE ENTITY,DIRECT hospital_id,YES,id,2,2,5,READ|INSERT|UPDATE|DELETE,EVOLVED DESIGN (heavy column accretion),LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260521000005_govt_schemes.sql ; 20260521000005_govt_schemes.sql
chain_memberships,Tenant,CORE ENTITY,hospital_id present but UNUSED by RLS,YES,id,2,1,0,NONE,INTENTIONAL DESIGN,LOW,LOW,CRITICAL,LOW,LOW,KEEP + MODIFY (fix RLS),HIGH,20260910000011_phase4_research_nps_chain.sql ; 20260910000011_phase4_research_nps_chain.sql
chart_of_accounts,Other,CORE ENTITY,DIRECT hospital_id,YES,id,2,2,8,READ|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260326000001_create_chart_of_accounts.sql ; 20260326000001_create_chart_of_accounts.sql
chemo_order_drugs,IPD,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260328054628_52972efb-5442-46fd-a624-f86462360ec5.sql ; 20260328054628_52972efb-5442-46fd-a624-f86462360ec5.sql
chemo_orders,IPD,CORE ENTITY,DIRECT hospital_id,YES,id,11,1,4,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260328054628_52972efb-5442-46fd-a624-f86462360ec5.sql ; 20260328054628_52972efb-5442-46fd-a624-f86462360ec5.sql
chemo_protocols,IPD,CORE ENTITY,DIRECT hospital_id,YES,id,1,1,4,READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260328054628_52972efb-5442-46fd-a624-f86462360ec5.sql ; 20260328054628_52972efb-5442-46fd-a624-f86462360ec5.sql
chronic_disease_programs,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,3,3,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260328142149_5bf9388a-1a6a-4cf3-ac5e-a10a04e8a031.sql ; 20260328142149_5bf9388a-1a6a-4cf3-ac5e-a10a04e8a031.sql
churn_remediation_actions,Platform,CORE ENTITY,hospital_id present but UNUSED by RLS,YES,id,1,1,2,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,HIGH,LOW,LOW,KEEP + MODIFY (tenant guard),HIGH,20261008000106_churn_remediation.sql ; 20261008000106_churn_remediation.sql
