object,exists_live,app_ops,app_file_count,app_files_sample,probable_intended_target,finding,severity
adult_immunization_schedule,TABLE,READ|UPDATE|INSERT,1,src/components/vaccination/AdultImmunizationTab.tsx,,ok,OK
advance_receipts,TABLE,INSERT|READ,6,src/components/billing/AdvanceReceiptModal.tsx ; src/components/billing/tabs/AdvanceApplicationTab.tsx ; src/components/ipd/IPDWorkspace.tsx ; src/components/ipd/tabs/IPDFinancialTab.tsx,,ok,OK
ai_attestations,TABLE,INSERT|READ,3,src/components/ai/AIAttestationModal.tsx ; src/components/nabh/EvidenceGapsModal.tsx ; e2e/phase-05-lab-radiology/P5H.ai-radiology-impression.spec.ts,,ok,OK
ai_cost_daily,TABLE,READ,2,src/pages/platform/AIPerformancePage.tsx ; src/pages/settings/SettingsPlanPage.tsx,,ok,OK
ai_digests,TABLE,READ|INSERT|UPDATE,2,src/components/analytics/AIDigestTab.tsx ; src/pages/hod/CEOBoardPage.tsx,,ok,OK
ai_feature_logs,TABLE,INSERT,22,src/components/analytics/RevenueForecastCard.tsx ; src/components/billing/RevenueIntelligencePanel.tsx ; src/components/crm/ReviewSentimentAnalyser.tsx ; src/components/emergency/EmergencyRegistrationModal.tsx,,ok,OK
ai_language_settings,TABLE,READ|INSERT,4,src/hooks/useVoiceScribeLanguages.ts ; src/pages/settings/SettingsAILanguagePage.tsx ; src/pages/tv/AdvancedQueueDisplayPage.tsx ; e2e/phase-02-settings/P2I.data-audit.spec.ts,,ok,OK
ai_safety_flags,TABLE,UPDATE|INSERT,2,src/components/ai/SafetyFlagBanner.tsx ; supabase/functions/_shared/safety-guard.ts,,ok,OK
ai_suggestions_audit,TABLE,READ|INSERT,4,src/components/ai/AIAuditLogDrawer.tsx ; src/components/analytics/AIPerformanceDashboard.tsx ; src/hooks/useAIAudit.ts ; e2e/phase-05-lab-radiology/P5H.ai-radiology-impression.spec.ts,,ok,OK
ai_usage_logs,TABLE,READ|INSERT,7,src/pages/platform/PlatformAIConfigPage.tsx ; supabase/functions/ai-clinical-voice/index.ts ; supabase/functions/ai-history-digest/index.ts ; supabase/functions/ai-proxy/index.ts,,ok,OK
ai_wallet_transactions,TABLE,READ,1,src/components/subscription/AiCreditsCard.tsx,,ok,OK
alert_escalation_log,TABLE,READ|INSERT,1,supabase/functions/alert-escalation/index.ts,,ok,OK
alert_escalation_rules,TABLE,READ|INSERT|UPDATE,2,src/components/dashboard/AlertsPanel.tsx ; supabase/functions/alert-escalation/index.ts,,ok,OK
allergy_records,MISSING,READ,1,supabase/functions/update-patient-ai-context/index.ts,patients.allergies (column),CONTRACT VIOLATION - runtime error/silent failure,HIGH
ambulance_dispatches,TABLE,READ|INSERT|UPDATE,3,src/components/ambulance/DispatchTab.tsx ; src/components/ambulance/TransitLogTab.tsx ; src/pages/ambulance/AmbulancePage.tsx,,ok,OK
ambulance_equipment_checks,TABLE,READ|INSERT,2,src/components/ambulance/EquipmentCheckTab.tsx ; src/pages/ambulance/AmbulancePage.tsx,,ok,OK
ambulance_transit_treatment,TABLE,READ|INSERT,1,src/components/ambulance/TransitLogTab.tsx,,ok,OK
ambulance_vehicles,TABLE,READ|INSERT|UPDATE,4,src/components/ambulance/DispatchTab.tsx ; src/components/ambulance/EquipmentCheckTab.tsx ; src/components/ambulance/FleetTab.tsx ; src/pages/ambulance/AmbulancePage.tsx,,ok,OK
amc_contracts,TABLE,READ,2,src/components/biomedical/AlertsTab.tsx ; src/pages/biomedical/BiomedicalPage.tsx,,ok,OK
anaesthesia_records,TABLE,READ|INSERT|UPDATE,2,src/components/ot/EndCaseModal.tsx ; src/components/specialty/AnaesthesiaSheet.tsx,,ok,OK
andrology_reports,TABLE,READ|INSERT,1,src/components/ivf/AndrologyTab.tsx,,ok,OK
antibiotic_justifications,TABLE,INSERT|READ|UPDATE,2,src/components/quality/AntibioticJustificationModal.tsx ; src/pages/quality/ASPDashboardPage.tsx,,ok,OK
antibiotic_restricted_list,TABLE,READ|INSERT,1,src/pages/quality/ASPDashboardPage.tsx,,ok,OK
api_configurations,TABLE,READ|UPDATE|INSERT,10,src/pages/billing/PaymentsPage.tsx ; src/pages/settings/APIConfigHubPage.tsx ; src/pages/settings/SettingsHMISPage.tsx ; src/pages/settings/SettingsRazorpayPage.tsx,,ok,OK
api_keys,TABLE,READ|INSERT|UPDATE|DELETE,3,src/pages/settings/SettingsAPIKeysPage.tsx ; src/pages/settings/SettingsAPIPortalPage.tsx ; e2e/phase-02-settings/P2I.integrations.spec.ts,,ok,OK
appointments,TABLE,READ|INSERT|UPDATE,8,src/components/opd/WalkInModal.tsx ; src/components/schedule/NoShowRiskPanel.tsx ; src/hooks/useChronicFollowups.ts ; src/pages/portal/PortalChatPage.tsx,,ok,OK
arogyasri_enrollments,TABLE,READ|INSERT,1,src/components/insurance/ArogyasriTab.tsx,,ok,OK
art_couples,TABLE,READ|INSERT,2,src/components/ivf/CouplesTab.tsx ; src/components/ivf/CyclesTab.tsx,,ok,OK
asr_pricing,TABLE,READ,1,supabase/functions/_shared/asr-metering.ts,,ok,OK
attendance_regularization_requests,TABLE,READ|INSERT|UPDATE,2,src/components/hr/AttendanceApprovalsPanel.tsx ; src/pages/hr/MyHRPage.tsx,,ok,OK
audit_log,TABLE,INSERT|READ,8,src/contexts/HospitalContext.tsx ; src/lib/auditLog.ts ; src/pages/quality/QualityPage.tsx ; src/pages/settings/SettingsBackupPage.tsx,,ok,OK
audit_records,TABLE,READ|UPDATE|INSERT,3,src/components/quality/AuditCalendarTab.tsx ; src/components/quality/NABHDashboard.tsx ; src/components/quality/ScheduleAuditModal.tsx,,ok,OK
audit_samples,MISSING,READ,1,supabase/functions/ai-nabh-assistant/index.ts,clinical_audit_samples,CONTRACT VIOLATION - runtime error/silent failure,HIGH
aumrti_admins,TABLE,READ|INSERT|UPDATE,11,src/hooks/useAumrtiAdmin.ts ; src/lib/adminAudit.ts ; src/lib/impersonation.ts ; src/lib/postAuthRoute.ts,,ok,OK
auto_posting_rules,TABLE,READ,3,src/components/accounts/AccountsDashboardTab.tsx ; src/lib/accounting.ts ; supabase/functions/reconcile-journal-postings/index.ts,,ok,OK
ayush_drug_master,TABLE,READ,1,src/components/ayush/ConsultationTab.tsx,,ok,OK
ayush_encounters,TABLE,READ|INSERT,3,src/components/ayush/ConsultationTab.tsx ; src/components/ayush/PrescriptionsTab.tsx ; src/pages/ayush/AyushPage.tsx,,ok,OK
bank_accounts,TABLE,READ|INSERT|UPDATE|DELETE,3,src/components/accounts/BankTab.tsx ; src/pages/settings/SettingsBankAccountsPage.tsx ; e2e/phase-02-settings/P2D.structure.bank-accounts.spec.ts,,ok,OK
bank_transactions,TABLE,READ|INSERT|UPDATE,1,src/components/accounts/BankTab.tsx,,ok,OK
bed_demand_forecasts,TABLE,INSERT,1,src/components/ipd/BedDemandForecastPanel.tsx,,ok,OK
bed_reservations,TABLE,INSERT|READ|UPDATE,3,src/components/ipd/BedReservationModal.tsx ; src/components/ipd/WardStats.tsx ; src/pages/ipd/IPDPage.tsx,,ok,OK
beds,TABLE,READ|UPDATE|INSERT|DELETE,28,src/components/analytics/AIDigestTab.tsx ; src/components/analytics/DailyCensusSection.tsx ; src/components/analytics/DepartmentDetailModal.tsx ; src/components/dashboard/BedOccupancy.tsx,,ok,OK
bill_amendments,TABLE,INSERT|READ,1,src/lib/billAmendmentLogger.ts,,ok,OK
bill_discount_approvals,TABLE,READ|UPDATE|INSERT,5,src/components/billing/BillEditor.tsx ; src/components/billing/DiscountApprovalsInbox.tsx ; src/components/billing/tabs/DiscountTab.tsx ; src/pages/billing/BillingPage.tsx,,ok,OK
bill_items,MISSING,INSERT|UPDATE|READ,3,src/components/ot/tabs/OTImplantsConsumablesTab.tsx ; supabase/functions/hcx-claim-submit/index.ts ; e2e/phase-02-settings/P2F.money.services-payers.spec.ts,bill_line_items,CONTRACT VIOLATION - runtime error/silent failure,CRITICAL
bill_line_items,TABLE,READ|INSERT|DELETE|UPDATE,51,src/components/accounts/ReportsTab.tsx ; src/components/ayush/PanchakarmaTab.tsx ; src/components/billing/BillEditor.tsx ; src/components/billing/LeakageScanner.tsx,,ok,OK
bill_payments,TABLE,READ|INSERT,22,src/components/accounts/ReportsTab.tsx ; src/components/billing/BillEditor.tsx ; src/components/billing/tabs/AdvanceApplicationTab.tsx ; src/components/dashboard/drilldowns/RevenueDrillDown.tsx,,ok,OK
bill_sequences,TABLE,READ,1,e2e/phase-01-foundation/P1H.tenant-isolation.spec.ts,,ok,OK
bills,TABLE,READ|INSERT|UPDATE,112,src/components/accounts/ReportsTab.tsx ; src/components/analytics/AIDigestTab.tsx ; src/components/analytics/CustomReportBuilder.tsx ; src/components/analytics/DepartmentDetailModal.tsx,,ok,OK
blood_issues,TABLE,READ|UPDATE|INSERT,3,src/components/blood-bank/IssueLogTab.tsx ; src/components/blood-bank/ReportsTab.tsx ; src/components/blood-bank/RequestsTab.tsx,,ok,OK
blood_requests,TABLE,READ|UPDATE|INSERT,4,src/components/blood-bank/RequestsTab.tsx ; src/components/ipd/BloodRequestModal.tsx ; src/components/ipd/IPDWorkspace.tsx ; src/components/ot/BookOTModal.tsx,,ok,OK
blood_unit_tti_tests,TABLE,READ|INSERT|UPDATE,1,src/components/blood-bank/TTITestingTab.tsx,,ok,OK
blood_units,TABLE,READ|UPDATE|INSERT,11,src/components/blood-bank/BloodDemandForecastPanel.tsx ; src/components/blood-bank/CrossMatchTab.tsx ; src/components/blood-bank/DonorsTab.tsx ; src/components/blood-bank/InventoryTab.tsx,,ok,OK
bmw_manifests,TABLE,READ|INSERT|DELETE,1,src/pages/fms/FMSDashboardPage.tsx,,ok,OK
bmw_records,TABLE,INSERT|READ,3,src/components/housekeeping/BMWEntryModal.tsx ; src/components/housekeeping/BMWLogTab.tsx ; src/components/housekeeping/ReportsTab.tsx,,ok,OK
body_releases,TABLE,READ|INSERT,1,src/pages/mortuary/MortuaryPage.tsx,,ok,OK
bpmh_records,TABLE,READ|INSERT,1,src/components/ipd/MedReconciliationPanel.tsx,,ok,OK
braden_scale_assessments,TABLE,READ|INSERT,1,src/components/ipd/tabs/WoundCareTab.tsx,,ok,OK
breakdown_logs,TABLE,READ|UPDATE|INSERT,5,src/components/biomedical/BreakdownTab.tsx ; src/components/biomedical/EquipmentTab.tsx ; src/components/biomedical/PredictiveMaintenanceSection.tsx ; src/components/biomedical/ReportBreakdownModal.tsx,,ok,OK
budget_lines,TABLE,READ|INSERT|UPDATE,1,src/pages/accounts/BudgetManagementPage.tsx,,ok,OK
calibration_records,TABLE,READ|INSERT,3,src/components/biomedical/AlertsTab.tsx ; src/components/biomedical/CalibrationTab.tsx ; src/components/biomedical/EquipmentTab.tsx,,ok,OK
capa_records,TABLE,READ|UPDATE|INSERT,3,src/components/analytics/QualityTab.tsx ; src/components/quality/CAPATrackerTab.tsx ; src/components/quality/NABHDashboard.tsx,,ok,OK
care_bundle_checks,TABLE,READ|INSERT,1,src/pages/ipd/ICUWorkspacePage.tsx,,ok,OK
care_plan_tasks,TABLE,READ|INSERT|UPDATE,1,src/pages/chronic-disease/ChronicDiseasePage.tsx,,ok,OK
care_plans,TABLE,READ|INSERT,2,src/pages/chronic-disease/ChronicDiseasePage.tsx ; supabase/functions/update-patient-ai-context/index.ts,,ok,OK
case_sheet_templates,TABLE,READ,1,src/components/ipd/tabs/IPDWardRoundTab.tsx,,ok,OK
cghs_echs_beneficiaries,TABLE,READ|INSERT|UPDATE|DELETE,5,src/components/billing/BillEditor.tsx ; src/components/insurance/CGHSECHSTab.tsx ; supabase/functions/cghs-eligibility/index.ts ; e2e/phase-02-settings/P2J.downstream.spec.ts,,ok,OK
chart_of_accounts,TABLE,READ|UPDATE,8,src/components/accounts/JournalTab.tsx ; src/components/accounts/LedgerTab.tsx ; src/components/accounts/ReportsTab.tsx ; src/lib/accounting.ts,,ok,OK
chemo_order_drugs,TABLE,INSERT,1,src/components/oncology/DaycareBoardTab.tsx,,ok,OK
chemo_orders,TABLE,READ|INSERT|UPDATE,4,src/components/oncology/ChemoOrdersTab.tsx ; src/components/oncology/DaycareBoardTab.tsx ; src/components/oncology/OncologyReportsTab.tsx ; src/pages/oncology/OncologyPage.tsx,,ok,OK
chemo_protocols,TABLE,READ,4,src/components/oncology/DaycareBoardTab.tsx ; src/components/oncology/OncologyPatientsTab.tsx ; src/components/oncology/ProtocolsTab.tsx ; src/pages/oncology/OncologyPage.tsx,,ok,OK
chronic_disease_programs,TABLE,READ|INSERT,3,src/components/clinical/ChronicDiseaseSection.tsx ; src/components/clinical/OverdueFollowupBanner.tsx ; src/hooks/useChronicFollowups.ts,,ok,OK
churn_remediation_actions,TABLE,READ|INSERT,2,src/pages/platform/ChurnRadarPage.tsx ; supabase/functions/churn-remediation-scan/index.ts,,ok,OK
cleaning_schedules,TABLE,READ|UPDATE|INSERT,1,src/components/housekeeping/SchedulesTab.tsx,,ok,OK
clinical_alerts,TABLE,READ|INSERT|UPDATE,60,src/components/analytics/AIDigestTab.tsx ; src/components/biomedical/CalibrationTab.tsx ; src/components/biomedical/ReportBreakdownModal.tsx ; src/components/cssd/IssueReturnTab.tsx,,ok,OK
clinical_audit_samples,TABLE,READ|INSERT|UPDATE|DELETE,1,src/pages/quality/ClinicalAuditPage.tsx,,ok,OK
clinical_audits,TABLE,READ|INSERT|UPDATE,2,src/pages/quality/ClinicalAuditPage.tsx ; supabase/functions/ai-nabh-assistant/index.ts,,ok,OK
clinical_guidelines,TABLE,READ,1,supabase/functions/ai-clinical-guidelines/index.ts,,ok,OK
clinical_note_templates,TABLE,READ|INSERT|DELETE,1,src/hooks/useNoteTemplates.ts,,ok,OK
clinical_protocols,TABLE,READ|INSERT|UPDATE|DELETE,2,src/pages/settings/SettingsProtocolsPage.tsx ; e2e/phase-02-settings/P2G.clinical.masters.spec.ts,,ok,OK
code_blue_audits,TABLE,INSERT,1,src/components/quality/CodeBlueAuditTab.tsx,,ok,OK
code_blue_events,TABLE,READ|INSERT,1,src/components/quality/CodeBlueAuditTab.tsx,,ok,OK
cold_chain_log,TABLE,READ|INSERT,2,src/components/vaccination/ColdChainTab.tsx ; src/pages/vaccination/VaccinationPage.tsx,,ok,OK
collection_campaigns,TABLE,INSERT|UPDATE,1,src/components/billing/CollectionCampaignModal.tsx,,ok,OK
committee_action_items,TABLE,READ|INSERT|UPDATE|DELETE,1,src/pages/quality/CommitteesPage.tsx,,ok,OK
committee_actions,MISSING,READ,1,supabase/functions/ai-nabh-assistant/index.ts,committee_action_items,CONTRACT VIOLATION - runtime error/silent failure,HIGH
committee_meetings,TABLE,READ|INSERT|UPDATE,2,src/pages/quality/CommitteesPage.tsx ; supabase/functions/ai-nabh-assistant/index.ts,,ok,OK
committee_members,TABLE,READ|INSERT|DELETE,1,src/pages/quality/CommitteesPage.tsx,,ok,OK
config_change_logs,TABLE,INSERT|READ,6,src/components/dashboard/NABHQIAlertCard.tsx ; src/lib/ims.ts ; src/pages/settings/ConfigChangeLogPage.tsx ; e2e/phase-02-settings/P2E.people-access.roles.spec.ts,,ok,OK
consent_form_templates,TABLE,READ|UPDATE|INSERT|DELETE,3,src/components/consent/ConsentSignatureModal.tsx ; src/pages/settings/SettingsConsentFormsPage.tsx ; e2e/phase-02-settings/P2G.clinical.masters.spec.ts,,ok,OK
consent_templates,TABLE,READ,1,src/pages/admin/GoLiveChecklistPage.tsx,,ok,OK
corporate_accounts,TABLE,READ|INSERT,1,src/components/packages/CorporateTab.tsx,,ok,OK
credential_override_log,TABLE,INSERT,1,src/components/hr/useCredentialGate.tsx,,ok,OK
credit_note_items,TABLE,INSERT,1,src/lib/pharmacyReturns.ts,,ok,OK
credit_notes,TABLE,INSERT,1,src/lib/pharmacyReturns.ts,,ok,OK
credit_packs,MISSING,READ,1,src/pages/settings/SettingsPlanPage.tsx,(none),CONTRACT VIOLATION - runtime error/silent failure,HIGH
cross_match_records,TABLE,READ|INSERT,3,src/components/blood-bank/CrossMatchTab.tsx ; src/components/blood-bank/ReportsTab.tsx ; src/components/blood-bank/RequestsTab.tsx,,ok,OK
cycle_instruments,TABLE,INSERT|UPDATE|READ,1,src/components/cssd/SterilizeTab.tsx,,ok,OK
daily_cash_closure,TABLE,READ|INSERT|UPDATE,3,src/lib/lockedDay.ts ; src/pages/billing/BillingPage.tsx ; src/pages/billing/DailyCashClosurePage.tsx,,ok,OK
daily_census_snapshots,TABLE,INSERT,1,supabase/functions/generate-daily-census/index.ts,,ok,OK
data_erasure_requests,TABLE,READ|UPDATE|INSERT|DELETE,5,src/pages/platform/ComplianceCenterPage.tsx ; src/pages/platform/PlatformSettingsPage.tsx ; src/pages/settings/SettingsBackupPage.tsx ; e2e/phase-02-settings/P2I.data-audit.spec.ts,,ok,OK
day_care_procedures,TABLE,READ|INSERT|UPDATE|DELETE,4,src/components/ipd/DayCareAdmissionModal.tsx ; src/pages/settings/SettingsDayCareProceduresPage.tsx ; src/pages/settings/SettingsServicesPage.tsx ; e2e/phase-02-settings/P2G.clinical.masters.spec.ts,,ok,OK
daycare_chairs,TABLE,READ|UPDATE,2,src/components/oncology/DaycareBoardTab.tsx ; src/pages/oncology/OncologyPage.tsx,,ok,OK
death_certificates,TABLE,READ|INSERT,1,src/components/mrd/DeathCertificatesTab.tsx,,ok,OK
denial_logs,TABLE,READ|INSERT,3,src/components/insurance/ClaimsStatus.tsx ; src/components/insurance/DenialAnalyticsDashboard.tsx ; src/components/pmjay/PmjayAnalyticsTab.tsx,,ok,OK
dental_charts,TABLE,INSERT|UPDATE|READ,2,src/components/dental/ToothChartTab.tsx ; src/pages/dental/DentalPage.tsx,,ok,OK
dental_lab_orders,TABLE,READ|INSERT|UPDATE,1,src/components/dental/LabOrdersTab.tsx,,ok,OK
dental_treatment_plans,TABLE,READ|INSERT|UPDATE,1,src/components/dental/TreatmentPlanTab.tsx,,ok,OK
department_indents,TABLE,INSERT|READ|UPDATE,3,src/components/inventory/DrugForecastPanel.tsx ; src/components/inventory/IndentsPanel.tsx ; src/pages/inventory/InventoryPage.tsx,,ok,OK
departments,TABLE,READ|DELETE|UPDATE|INSERT,52,src/components/accounts/ExpensesTab.tsx ; src/components/accounts/RecordExpenseModal.tsx ; src/components/accounts/ReportsTab.tsx ; src/components/analytics/ExportModal.tsx,,ok,OK
dialysis_machines,TABLE,READ|UPDATE|INSERT,3,src/components/dialysis/DialysisReportsTab.tsx ; src/components/dialysis/DialysisScheduleTab.tsx ; src/components/dialysis/MachineBoardTab.tsx,,ok,OK
dialysis_patients,TABLE,READ|INSERT,5,src/components/dialysis/DialysisPatientsTab.tsx ; src/components/dialysis/DialysisReportsTab.tsx ; src/components/dialysis/DialysisScheduleTab.tsx ; src/components/dialysis/MachineBoardTab.tsx,,ok,OK
dialysis_sessions,TABLE,READ|INSERT|UPDATE,6,src/components/dialysis/DialysisPatientsTab.tsx ; src/components/dialysis/DialysisReportsTab.tsx ; src/components/dialysis/DialysisScheduleTab.tsx ; src/components/dialysis/DialysisSessionsTab.tsx,,ok,OK
dicom,MISSING,DELETE,1,src/components/radiology/DicomViewerPanel.tsx,dicom_files,CONTRACT VIOLATION - runtime error/silent failure,CRITICAL
dicom_files,TABLE,READ|INSERT|DELETE,2,src/components/radiology/DicomViewerPanel.tsx ; supabase/functions/fhir-export/index.ts,,ok,OK
diet_orders,TABLE,INSERT|READ,3,src/components/ipd/AdmitPatientModal.tsx ; src/components/ipd/tabs/NutritionDieteticsTab.tsx ; src/pages/dietetics/DietPage.tsx,,ok,OK
diet_plans,TABLE,INSERT,1,src/pages/dietetics/DietPage.tsx,,ok,OK
dietitian_notes,TABLE,READ|INSERT,1,src/components/ipd/tabs/NutritionDieteticsTab.tsx,,ok,OK
disaster_drills,TABLE,READ|INSERT|UPDATE,1,src/components/quality/DisasterManagementTab.tsx,,ok,OK
disciplinary_actions,TABLE,READ|INSERT|UPDATE,1,src/components/hr/DisciplinaryGrievanceTab.tsx,,ok,OK
discount_codes,TABLE,READ|INSERT|UPDATE,5,src/components/subscription/SubscribeButton.tsx ; src/pages/platform/DiscountsPage.tsx ; supabase/functions/change-subscription-plan/index.ts ; supabase/functions/create-razorpay-subscription/index.ts,,ok,OK
doctor_quick_picks,TABLE,READ|INSERT|DELETE,1,src/hooks/useDoctorQuickPicks.ts,,ok,OK
doctor_schedules,TABLE,READ|DELETE|INSERT,3,src/pages/settings/SettingsDoctorSchedulesPage.tsx ; src/pages/setup/steps/Step5cSchedules.tsx ; e2e/phase-02-settings/P2E.people-access.schedules.spec.ts,,ok,OK
doctor_slots,TABLE,READ|UPDATE|INSERT|DELETE,7,src/components/opd/WalkInModal.tsx ; src/pages/booking/PublicAppointmentPage.tsx ; src/pages/schedule/SchedulingPage.tsx ; src/pages/settings/SettingsDoctorSchedulesPage.tsx,,ok,OK
donor_campaigns,TABLE,INSERT,1,supabase/functions/donor-reengagement/index.ts,,ok,OK
donors,TABLE,READ|INSERT,2,src/components/blood-bank/DonorsTab.tsx ; supabase/functions/donor-reengagement/index.ts,,ok,OK
drug_allergy_cross_reactivity,TABLE,READ,2,src/lib/drugSafetyCheck.ts ; e2e/phase-04-opd-journey/P4F.drug-safety.spec.ts,,ok,OK
drug_batches,TABLE,READ|UPDATE|INSERT,20,src/components/accounts/ReportsTab.tsx ; src/components/inventory/ConsolidatedStockPanel.tsx ; src/components/pharmacy/ExpiryControlTab.tsx ; src/components/pharmacy/ip/DispensingWorkspace.tsx,,ok,OK
drug_interactions,TABLE,READ,1,src/lib/drugSafetyCheck.ts,,ok,OK
drug_master,TABLE,READ|INSERT|UPDATE|DELETE,20,src/components/ipd/tabs/IPDMedicationsTab.tsx ; src/components/migration/ImportWizard.tsx ; src/components/opd/DrugMasterSearchInput.tsx ; src/components/pharmacy/ip/DispensingWorkspace.tsx,,ok,OK
dunning_attempts,TABLE,READ|INSERT,1,supabase/functions/dunning-processor/index.ts,,ok,OK
dunning_cadence_rules,TABLE,READ|INSERT|UPDATE|DELETE,2,src/pages/platform/AutomationRulesPage.tsx ; supabase/functions/dunning-processor/index.ts,,ok,OK
duty_roster,TABLE,READ|INSERT|DELETE|UPDATE,5,src/components/hr/AttendanceTab.tsx ; src/components/hr/RosterOptimizerPanel.tsx ; src/components/hr/RosterTab.tsx ; src/components/hr/ShiftSwapPanel.tsx,,ok,OK
ed_charge_items,TABLE,READ|INSERT,3,src/components/emergency/EDChargesPanel.tsx ; src/components/emergency/EDMedicationPanel.tsx ; src/components/emergency/EmergencyWorkspace.tsx,,ok,OK
ed_handover_notes,TABLE,READ|INSERT,1,src/components/emergency/EDHandoverNotePanel.tsx,,ok,OK
ed_medications,TABLE,READ|INSERT,1,src/components/emergency/EDMedicationPanel.tsx,,ok,OK
ed_visits,TABLE,READ|UPDATE|INSERT|DELETE,9,src/components/emergency/EDAnalyticsModal.tsx ; src/components/emergency/EDDischargeSummaryModal.tsx ; src/components/emergency/EmergencyRegistrationModal.tsx ; src/components/emergency/EmergencyWorkspace.tsx,,ok,OK
electrical_safety_logs,TABLE,READ|INSERT|DELETE,1,src/components/fms/ElectricalSafetyTab.tsx,,ok,OK
email_notifications,TABLE,INSERT,1,supabase/functions/send-email/index.ts,,ok,OK
embryo_bank,TABLE,READ,2,src/components/ivf/EmbryoBankTab.tsx ; src/pages/ivf/IVFPage.tsx,,ok,OK
emi_installments,TABLE,READ|UPDATE|INSERT,1,src/components/billing/tabs/CollectionsTab.tsx,,ok,OK
emi_plans,TABLE,READ|INSERT,1,src/components/billing/tabs/CollectionsTab.tsx,,ok,OK
emr_template_definitions,TABLE,READ|INSERT|DELETE,2,src/pages/settings/SpecialtyTemplateBuilderPage.tsx ; e2e/phase-02-settings/P2G.clinical.masters.spec.ts,,ok,OK
enterprise_leads,TABLE,READ|UPDATE|INSERT,2,src/pages/platform/PlansManagerPage.tsx ; src/pages/register/Step4ChoosePlan.tsx,,ok,OK
entitlement_fail_open_events,TABLE,INSERT|READ,3,src/hooks/useSubscriptionConfig.ts ; src/pages/platform/ComplianceCenterPage.tsx ; e2e/phase-01-foundation/P1G.plan-gating.spec.ts,,ok,OK
epidemic_protocols,TABLE,READ|INSERT|UPDATE,2,src/components/quality/DisasterManagementTab.tsx ; src/lib/disaster-mode.ts,,ok,OK
equipment_master,TABLE,READ|INSERT|UPDATE,10,src/components/biomedical/AddEquipmentModal.tsx ; src/components/biomedical/AlertsTab.tsx ; src/components/biomedical/BreakdownTab.tsx ; src/components/biomedical/CalibrationTab.tsx,,ok,OK
esg_monthly_metrics,TABLE,READ|INSERT,1,src/components/analytics/ESGTab.tsx,,ok,OK
esi_beneficiaries,TABLE,READ,1,supabase/functions/esi-claim-submit/index.ts,,ok,OK
expense_records,TABLE,READ|INSERT|UPDATE,3,src/components/accounts/ExpensesTab.tsx ; src/components/accounts/RecordExpenseModal.tsx ; src/components/accounts/ReportsTab.tsx,,ok,OK
external_lab_referrals,TABLE,INSERT|READ|UPDATE|DELETE,3,src/components/lab/ExternalLabReferralModal.tsx ; src/components/lab/ExternalReferralsTab.tsx ; e2e/phase-05-lab-radiology/P5E.external-referrals.spec.ts,,ok,OK
facility_assets,TABLE,READ|INSERT|UPDATE,1,src/pages/fms/FMSDashboardPage.tsx,,ok,OK
facility_maintenance_logs,TABLE,READ|INSERT|UPDATE|DELETE,1,src/pages/fms/FMSDashboardPage.tsx,,ok,OK
