table,domain,has_hospital_id,fk_to_hospitals,tenant_model,parent_tables,policy_count,rls_references_hospital,write_path_tenant_guarded,open_select,open_write,risk,notes
blood_issues,Blood Bank,YES,YES,DIRECT hospital_id,admissions|bills|cross_match_records,1,YES,YES,NO,NO,LOW,
blood_requests,Blood Bank,YES,YES,DIRECT hospital_id,admissions|patients|users,1,YES,YES,NO,NO,LOW,
blood_unit_tti_tests,Blood Bank,YES,YES,DIRECT hospital_id,users|users|blood_units,1,YES,YES,NO,NO,LOW,
blood_units,Blood Bank,YES,YES,DIRECT hospital_id,donors|patients|patients,1,YES,YES,NO,NO,LOW,
bmw_manifests,Biomedical Waste,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
bmw_records,Biomedical Waste,YES,YES,DIRECT hospital_id,users|users|wards,1,YES,YES,NO,NO,LOW,
body_releases,Other,YES,YES,DIRECT hospital_id,mortuary_admissions|users,1,YES,YES,NO,NO,LOW,
bpmh_records,Other,YES,YES,DIRECT hospital_id,admissions|patients|users,1,YES,YES,NO,NO,LOW,
braden_scale_assessments,Other,YES,YES,DIRECT hospital_id,admissions|users,1,YES,YES,NO,NO,LOW,
branches,Tenant,YES,YES,DIRECT hospital_id,,3,YES,YES,NO,NO,LOW,
breakdown_logs,Other,YES,YES,DIRECT hospital_id,equipment_master|users,1,YES,YES,NO,NO,LOW,
budget_lines,Other,YES,YES,DIRECT hospital_id,users|users|departments,1,YES,YES,NO,NO,LOW,
calibration_records,Other,YES,YES,DIRECT hospital_id,equipment_master,1,YES,YES,NO,NO,LOW,
capa_records,Other,YES,YES,DIRECT hospital_id,users|users,2,YES,YES,NO,NO,LOW,
care_bundle_checks,Other,YES,YES,DIRECT hospital_id,admissions|users,1,YES,YES,NO,NO,LOW,
care_plan_tasks,Nursing,YES,NO,DIRECT hospital_id,care_plans,2,YES,YES,NO,NO,LOW,
care_plans,Nursing,YES,NO,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
case_sheet_templates,Other,YES,YES,DIRECT hospital_id,users,4,YES,YES,NO,NO,LOW,
cghs_echs_beneficiaries,PM-JAY,YES,YES,DIRECT hospital_id,patients,2,YES,YES,NO,NO,LOW,
chain_memberships,Tenant,YES,YES,hospital_id present but UNUSED by RLS,hospital_chains,1,NO,NO,YES,YES,CRITICAL,column exists but no policy references it; USING(true) readable by any authenticated user; WITH CHECK(true) writable
chart_of_accounts,Other,YES,YES,DIRECT hospital_id,chart_of_accounts,2,YES,YES,NO,NO,LOW,
chemo_order_drugs,IPD,YES,YES,DIRECT hospital_id,users|chemo_orders,1,YES,YES,NO,NO,LOW,
chemo_orders,IPD,YES,YES,DIRECT hospital_id,bills|oncology_patients|users,1,YES,YES,NO,NO,LOW,
chemo_protocols,IPD,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
chronic_disease_programs,Other,YES,YES,DIRECT hospital_id,patients|users,3,YES,YES,NO,NO,LOW,
churn_remediation_actions,Platform,YES,YES,hospital_id present but UNUSED by RLS,,1,NO,N/A,NO,NO,HIGH,column exists but no policy references it
cleaning_schedules,Other,YES,YES,DIRECT hospital_id,users|wards,1,YES,YES,NO,NO,LOW,
clinical_alerts,Other,YES,YES,DIRECT hospital_id,users|users|lab_order_items,3,YES,YES,NO,NO,LOW,
clinical_audit_samples,Quality/NABH,NO,NO,DERIVED via clinical_audits,clinical_audits,1,YES,YES,NO,NO,LOW,
clinical_audits,Quality/NABH,YES,YES,DIRECT hospital_id,users|departments|nabh_standards,1,YES,YES,NO,NO,LOW,
clinical_guidelines,Other,YES,NO,DIRECT hospital_id,,3,YES,YES,NO,NO,LOW,
clinical_note_templates,Other,YES,YES,DIRECT hospital_id,users,4,YES,YES,NO,NO,LOW,
clinical_protocols,Other,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
clinical_reference_sources,Other,YES,YES,DIRECT hospital_id,,3,YES,YES,NO,NO,LOW,
code_blue_audits,Other,YES,YES,DIRECT hospital_id,users|code_blue_events,1,YES,YES,NO,NO,LOW,
code_blue_events,Other,YES,YES,DIRECT hospital_id,patients|users,1,YES,YES,NO,NO,LOW,
coding_audits,Other,YES,YES,DIRECT hospital_id,users|icd_codings,1,YES,YES,NO,NO,LOW,
cold_chain_log,Vaccination,YES,YES,DIRECT hospital_id,users,2,YES,YES,NO,NO,LOW,
cold_storage_log,Other,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
collection_campaigns,Other,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
committee_action_items,Quality/NABH,NO,NO,DERIVED via committee_meetings/users,committee_meetings|users,1,YES,YES,NO,NO,LOW,
committee_meetings,Quality/NABH,NO,NO,DERIVED via hospital_committees/users,hospital_committees|users,1,YES,YES,NO,NO,LOW,
committee_members,Quality/NABH,NO,NO,DERIVED via hospital_committees/users,hospital_committees|users,1,YES,YES,NO,NO,LOW,
config_change_logs,Other,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
consent_form_templates,Audit/Compliance,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
consent_templates,Audit/Compliance,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
corporate_accounts,Insurance,YES,YES,DIRECT hospital_id,,3,YES,YES,NO,NO,LOW,
credential_override_log,Other,YES,YES,DIRECT hospital_id,users|users,1,YES,YES,NO,NO,LOW,
credit_note_items,Billing,YES,YES,DIRECT hospital_id,credit_notes|pharmacy_dispensing_items,2,YES,YES,NO,NO,LOW,
credit_notes,Billing,YES,YES,DIRECT hospital_id,admissions|users|users,3,YES,YES,NO,NO,LOW,
cross_match_records,Other,YES,YES,DIRECT hospital_id,admissions|patients|users,1,YES,YES,NO,NO,LOW,
cycle_instruments,Other,YES,YES,DIRECT hospital_id,sterilization_cycles|instruments|instrument_sets,1,YES,YES,NO,NO,LOW,
daily_cash_closure,Other,YES,YES,DIRECT hospital_id,users|users,2,YES,YES,NO,NO,LOW,
daily_census_snapshots,Other,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
data_erasure_requests,Other,YES,YES,DIRECT hospital_id,users|users,3,YES,NO,NO,NO,LOW,
day_care_procedures,Other,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
daycare_chairs,Other,YES,YES,DIRECT hospital_id,patients,1,YES,YES,NO,NO,LOW,
death_certificates,Other,YES,YES,DIRECT hospital_id,admissions|users|patients,1,YES,YES,NO,NO,LOW,
demand_forecasts,Other,YES,YES,DIRECT hospital_id,inventory_items,3,YES,YES,NO,NO,LOW,
denial_logs,Other,YES,YES,DIRECT hospital_id,pmjay_claims,1,YES,YES,NO,NO,LOW,
dental_charts,Dental,YES,YES,DIRECT hospital_id,users|patients,2,YES,YES,NO,NO,LOW,
dental_lab_orders,Dental,YES,YES,DIRECT hospital_id,users|patients,2,YES,YES,NO,NO,LOW,
dental_treatment_plans,Dental,YES,YES,DIRECT hospital_id,bills|dental_charts|users,2,YES,YES,NO,NO,LOW,
department_indents,Tenant,YES,YES,DIRECT hospital_id,users|departments|users,4,YES,YES,NO,NO,LOW,
departments,Tenant,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
depreciation_postings,Other,YES,YES,DIRECT hospital_id,fixed_assets|journal_entries,1,YES,N/A,NO,NO,LOW,
dialysis_machines,IPD,YES,YES,DIRECT hospital_id,patients,4,YES,YES,NO,NO,LOW,
dialysis_patients,IPD,YES,YES,DIRECT hospital_id,patients|users,4,YES,YES,NO,NO,LOW,
dialysis_sessions,IPD,YES,YES,DIRECT hospital_id,bills|dialysis_patients|dialysis_machines,4,YES,YES,NO,NO,LOW,
dialyzer_reuse,Other,YES,YES,DIRECT hospital_id,dialysis_patients,5,YES,YES,NO,NO,LOW,
dicom_files,Radiology,YES,YES,DIRECT hospital_id,radiology_orders|users,1,YES,YES,NO,NO,LOW,
diet_orders,Dietetics,YES,YES,DIRECT hospital_id,admissions|users|patients,1,YES,YES,NO,NO,LOW,
diet_plans,Dietetics,YES,YES,DIRECT hospital_id,admissions|users|patients,2,YES,YES,NO,NO,LOW,
dietitian_notes,Dietetics,YES,YES,DIRECT hospital_id,admissions|users,1,YES,YES,NO,NO,LOW,
disaster_drills,Emergency,YES,YES,DIRECT hospital_id,users|users,1,YES,YES,NO,NO,LOW,
disciplinary_actions,Other,YES,YES,DIRECT hospital_id,users|users,1,YES,YES,NO,NO,LOW,
discount_approvals,Billing,YES,YES,DIRECT hospital_id,users|bills|users,2,YES,YES,NO,NO,LOW,
discount_codes,Billing,NO,NO,DERIVED via users,users,2,NO,NO,YES,NO,CRITICAL,USING(true) readable by any authenticated user
doctor_quick_picks,OPD,YES,YES,DIRECT hospital_id,users,4,YES,YES,NO,NO,LOW,
doctor_schedules,OPD,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
doctor_slots,OPD,YES,YES,DIRECT hospital_id,departments|users,1,YES,YES,NO,NO,LOW,
donor_campaigns,Blood Bank,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
donors,Blood Bank,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
drug_allergy_cross_reactivity,Pharmacy,NO,NO,GLOBAL / non-tenant,,1,NO,N/A,YES,NO,CRITICAL,USING(true) readable by any authenticated user
drug_batches,Pharmacy,YES,YES,DIRECT hospital_id,drug_master|store_locations,3,YES,YES,NO,NO,LOW,
drug_interactions,Pharmacy,NO,NO,GLOBAL / non-tenant,,1,NO,N/A,YES,NO,CRITICAL,USING(true) readable by any authenticated user
drug_master,Pharmacy,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
dunning_attempts,Other,YES,YES,DIRECT hospital_id,hospital_subscriptions,1,YES,YES,NO,NO,LOW,
dunning_cadence_rules,Other,NO,NO,GLOBAL / non-tenant,,1,NO,NO,NO,NO,LOW,
duty_roster,HR,YES,YES,DIRECT hospital_id,users|departments|users,4,YES,YES,NO,NO,LOW,
ed_charge_items,Emergency,YES,YES,DIRECT hospital_id,bills|ed_visits|patients,2,YES,YES,NO,NO,LOW,
ed_handover_notes,Emergency,YES,YES,DIRECT hospital_id,ed_visits|users|users,2,YES,YES,NO,NO,LOW,
ed_medications,Emergency,YES,YES,DIRECT hospital_id,ed_charge_items|ed_visits|patients,2,YES,YES,NO,NO,LOW,
ed_visits,Emergency,YES,YES,DIRECT hospital_id,bills|users|patients,3,YES,YES,NO,NO,LOW,
electrical_safety_logs,Other,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
email_notifications,Notifications,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
embryo_bank,IVF/ART,YES,YES,DIRECT hospital_id,art_couples|ivf_cycles|embryology_records,2,YES,YES,NO,NO,LOW,
embryology_records,IVF/ART,YES,YES,DIRECT hospital_id,ivf_cycles,2,YES,YES,NO,NO,LOW,
emi_installments,Billing,YES,YES,DIRECT hospital_id,bill_payments|emi_plans,2,YES,YES,NO,NO,LOW,
emi_plans,Billing,YES,YES,DIRECT hospital_id,bills|users|patients,2,YES,YES,NO,NO,LOW,
emr_template_definitions,Other,YES,YES,DIRECT hospital_id,,3,YES,YES,NO,NO,LOW,
enterprise_leads,Other,YES,YES,hospital_id present but UNUSED by RLS,,4,NO,NO,NO,YES,CRITICAL,column exists but no policy references it; WITH CHECK(true) writable
entitlement_fail_open_events,Platform,YES,YES,hospital_id present but UNUSED by RLS,,2,NO,NO,NO,YES,CRITICAL,column exists but no policy references it; WITH CHECK(true) writable
epidemic_protocols,Other,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
equipment_master,Inventory,YES,YES,DIRECT hospital_id,departments,1,YES,YES,NO,NO,LOW,
esg_monthly_metrics,Other,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
esi_beneficiaries,PM-JAY,YES,NO,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
expense_records,Other,YES,YES,DIRECT hospital_id,users|departments|journal_entries,1,YES,YES,NO,NO,LOW,
external_lab_referrals,Other,YES,YES,DIRECT hospital_id,patients|users,1,YES,YES,NO,NO,LOW,
facility_assets,Tenant,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
facility_maintenance_logs,Tenant,YES,YES,DIRECT hospital_id,facility_assets,1,YES,YES,NO,NO,LOW,
fall_risk_assessments,Nursing,YES,YES,DIRECT hospital_id,admissions|users|patients,1,YES,YES,NO,NO,LOW,
fcm_tokens,Other,YES,YES,DIRECT hospital_id,users,2,YES,YES,NO,NO,LOW,
feedback_records,Patient,YES,YES,DIRECT hospital_id,users|patients,1,YES,YES,NO,NO,LOW,
fire_safety_drills,Other,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
fixed_assets,Other,YES,YES,DIRECT hospital_id,departments,1,YES,YES,NO,NO,LOW,
full_final_settlements,Other,YES,YES,DIRECT hospital_id,users|staff_exits,1,YES,YES,NO,NO,LOW,
govt_scheme_claims,PM-JAY,YES,NO,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
govt_schemes,PM-JAY,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
grievances,HR,YES,YES,DIRECT hospital_id,users|departments|patients,1,YES,YES,NO,NO,LOW,
grn_ai_log,AI,YES,YES,DIRECT hospital_id,grn_records,4,YES,YES,NO,NO,LOW,
grn_items,Procurement,YES,YES,DIRECT hospital_id,grn_records|inventory_items|po_items,4,YES,YES,NO,NO,LOW,
grn_records,Procurement,YES,YES,DIRECT hospital_id,purchase_orders|users|vendors,3,YES,YES,NO,NO,LOW,
guideline_adherence_log,Other,YES,NO,DIRECT hospital_id,clinical_guidelines,2,YES,YES,NO,NO,LOW,
hand_hygiene_audits,Infection Control,YES,YES,DIRECT hospital_id,users|wards,1,YES,YES,NO,NO,LOW,
hcx_submissions,Other,YES,YES,DIRECT hospital_id,insurance_claims|insurance_pre_auth,2,YES,YES,NO,NO,LOW,
health_coach_sessions,Other,YES,YES,DIRECT hospital_id,admissions|patients,1,YES,YES,NO,NO,LOW,
health_packages,Other,YES,YES,DIRECT hospital_id,,4,YES,YES,NO,NO,LOW,
hep_plans,Other,YES,YES,DIRECT hospital_id,users|patients|physio_referrals,1,YES,YES,NO,NO,LOW,
high_alert_double_checks,Other,YES,YES,DIRECT hospital_id,admissions|users|users,1,YES,YES,NO,NO,LOW,
hmis_reports,Integration,YES,YES,DIRECT hospital_id,users,2,YES,YES,NO,NO,LOW,
home_care_plans,Other,YES,YES,DIRECT hospital_id,users|users|patients,1,YES,YES,NO,NO,LOW,
home_care_visits,Other,YES,YES,DIRECT hospital_id,users|patients|home_care_plans,1,YES,YES,NO,NO,LOW,
home_tele_monitoring,Other,YES,YES,DIRECT hospital_id,patients|home_care_plans,1,YES,YES,NO,NO,LOW,
hospital_abdm_config,Tenant,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
hospital_addons,Tenant,YES,YES,DIRECT hospital_id,addon_skus|users,2,YES,YES,NO,NO,LOW,
hospital_ai_wallet,AI,YES,YES,DIRECT hospital_id,,2,YES,N/A,NO,NO,LOW,
hospital_chains,Tenant,NO,NO,GLOBAL / non-tenant,,1,NO,NO,YES,YES,CRITICAL,USING(true) readable by any authenticated user; WITH CHECK(true) writable
hospital_committees,Tenant,YES,YES,DIRECT hospital_id,users|users,1,YES,YES,NO,NO,LOW,
hospital_config_values,Tenant,YES,YES,DIRECT hospital_id,,4,YES,YES,NO,NO,LOW,
hospital_feature_overrides,Tenant,YES,YES,DIRECT hospital_id,users,2,YES,NO,NO,NO,LOW,
hospital_icd_settings,Tenant,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
hospital_insurance_settings,Tenant,YES,YES,DIRECT hospital_id,,3,YES,YES,NO,NO,LOW,
hospital_module_entitlements,Tenant,YES,YES,DIRECT hospital_id,users,2,YES,NO,NO,NO,LOW,
hospital_packages,Tenant,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
hospital_pacs_config,Tenant,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
hospital_pricing_overrides,Tenant,YES,YES,DIRECT hospital_id,users,2,YES,NO,NO,NO,LOW,
hospital_sequences,Tenant,YES,YES,hospital_id present but UNUSED by RLS,,1,NO,YES,NO,NO,HIGH,column exists but no policy references it
hospital_settings,Tenant,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
hospital_signup_consents,Tenant,YES,YES,hospital_id present but UNUSED by RLS,,1,NO,N/A,NO,NO,HIGH,column exists but no policy references it
hospital_subscriptions,Tenant,YES,YES,DIRECT hospital_id,subscription_plans,2,YES,NO,NO,NO,LOW,
hospitals,Tenant,NO,NO,DERIVED via hospital_chains/referral_codes,hospital_chains|referral_codes,5,YES,YES,NO,NO,LOW,
housekeeping_tasks,Housekeeping,YES,YES,DIRECT hospital_id,users|beds|wards,1,YES,YES,NO,NO,LOW,
icd10_code_sets,Other,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
icd10_codes,Other,YES,YES,DIRECT hospital_id,icd10_code_sets,4,YES,YES,NO,NO,LOW,
icd_codings,Other,YES,YES,DIRECT hospital_id,users|users|users,1,YES,YES,NO,NO,LOW,
icu_daily_goals,ICU,YES,YES,DIRECT hospital_id,admissions|users,1,YES,YES,NO,NO,LOW,
icu_flowsheet_entries,ICU,YES,YES,DIRECT hospital_id,admissions|users,1,YES,YES,NO,NO,LOW,
idsp_alerts,Public Health,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
idsp_submissions,Public Health,YES,YES,DIRECT hospital_id,patients,1,YES,YES,NO,NO,LOW,
inbox_messages,Other,YES,YES,DIRECT hospital_id,inbox_messages|patients,2,YES,YES,NO,NO,LOW,
incident_reports,Quality/NABH,YES,YES,DIRECT hospital_id,departments|patients|users,2,YES,YES,NO,NO,LOW,
indent_items,Procurement,YES,YES,DIRECT hospital_id,department_indents|inventory_items,4,YES,YES,NO,NO,LOW,
instrument_sets,OT,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
instruments,OT,YES,YES,DIRECT hospital_id,instrument_sets,1,YES,YES,NO,NO,LOW,
insurance_automation_config,Insurance,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
insurance_automation_log,Insurance,YES,YES,DIRECT hospital_id,admissions|insurance_claims|insurance_pre_auth,1,YES,YES,NO,NO,LOW,
insurance_claims,Insurance,YES,YES,DIRECT hospital_id,admissions|bills|users,4,YES,YES,NO,NO,LOW,
insurance_enhancement_requests,Insurance,YES,YES,DIRECT hospital_id,admissions|insurance_pre_auth|users,3,YES,YES,NO,NO,LOW,
insurance_intimations,Insurance,YES,YES,DIRECT hospital_id,admissions|patients,3,YES,YES,NO,NO,LOW,
insurance_payment_reconciliation,Insurance,YES,YES,DIRECT hospital_id,insurance_claims,4,YES,YES,NO,NO,LOW,
insurance_pre_auth,Insurance,YES,YES,DIRECT hospital_id,admissions|users|insurance_pre_auth,4,YES,YES,NO,NO,LOW,
insurance_sla_log,Insurance,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
inventory_anomalies,Inventory,YES,YES,DIRECT hospital_id,inventory_items|users,1,YES,YES,NO,NO,LOW,
inventory_items,Inventory,YES,YES,DIRECT hospital_id,,3,YES,YES,NO,NO,LOW,
inventory_stock,Inventory,YES,YES,DIRECT hospital_id,vendors|inventory_items,4,YES,YES,NO,NO,LOW,
io_balance_records,Other,YES,YES,DIRECT hospital_id,admissions|users,1,YES,YES,NO,NO,LOW,
ipc_bundle_checklists,Other,YES,YES,DIRECT hospital_id,admissions|users|ipc_device_usage,1,YES,YES,NO,NO,LOW,
ipc_device_usage,Other,YES,YES,DIRECT hospital_id,admissions|users|patients,1,YES,YES,NO,NO,LOW,
ipc_infection_events,Other,YES,YES,DIRECT hospital_id,admissions|ipc_device_usage|lab_orders,1,YES,YES,NO,NO,LOW,
ipd_advances,IPD,YES,YES,DIRECT hospital_id,admissions|users|patients,1,YES,YES,NO,NO,LOW,
ipd_medications,IPD,YES,YES,DIRECT hospital_id,admissions|users,2,YES,YES,NO,NO,LOW,
ipd_nursing_notes,IPD,YES,YES,DIRECT hospital_id,admissions|patients|users,4,YES,YES,NO,NO,LOW,
ipd_vitals,IPD,YES,YES,DIRECT hospital_id,admissions|users,2,YES,YES,NO,NO,LOW,
item_consumption_daily,Inventory,YES,YES,DIRECT hospital_id,inventory_items,1,YES,YES,NO,NO,LOW,
iv_fluids,Other,YES,YES,DIRECT hospital_id,admissions|users,1,YES,YES,NO,NO,LOW,
